======================================================
          DUMPING JIRA DAILY REPORTS
Fri Sep 29 11:44:27 UTC 2017
======================================================
*** Collect from date: 2017-09-28
*** Collect to   date: 2017-09-29
---------------------------
PRTG: retrieving PRTG / HOSTS
API CALL: https://prtg.xtratelecom.es/api/table.xml?username=alvaro.paricio@masmovil.com&passhash=2990680966&count=10000&content=devices&columns=objid,group,host,device,sensor,status,parent,parentid,location,type,name,message&output=csvtable
<Response [200]>
"ID","ID(RAW)","Grupo","Grupo(RAW)","Host","Host(RAW)","Aparato","Aparato(RAW)","Sensor","Sensor(RAW)","Estado","Estado(RAW)","Nodriza","Nodriza(RAW)","ID nodriza","ID nodriza(RAW)","Ubicación","Ubicación(RAW)","Tipo","Tipo(RAW)","Objeto","Objeto(RAW)","Mensaje","Mensaje(RAW)"
"19223","19223","CT CORDOBA","CT CORDOBA","185.110.160.137","185.110.160.137","AUGESPA MAIN","AUGESPA MAIN","","","Disponible","3","","","8652","8652","","via de las dos castillas 33, pozuelo de alarcon","Aparato","device","AUGESPA MAIN","AUGESPA MAIN","","OK"
"19241","19241","MADRID","MADRID","212.230.172.141","212.230.172.141","GESLICO_MAIN","GESLICO_MAIN","","","Disponible","3","","","61651","61651","","Zurbano","Aparato","device","GESLICO_MAIN","GESLICO_MAIN","","OK"
"2018","2018","Internet Connection","Internet Connection","212.230.10.126","212.230.10.126","gateway PRTG","gateway PRTG","","","Disponible","3","","","2017","2017","","via de las dos castillas 33, pozuelo de alarcon","Aparato","device","gateway PRTG","gateway PRTG","","OK"
"2281","2281","CDG A. HENARES","CDG A. HENARES","212.230.131.141","212.230.131.141","GESLICO_CDG_TESA_MAIN","GESLICO_CDG_TESA_MAIN","","","Disponible","3","","","55006","55006","","via de las dos castillas 33, pozuelo de alarcon","Aparato","device","GESLICO_CDG_TESA_MAIN","GESLICO_CDG_TESA_MAIN","","OK"
"2329","2329","CT VALENCIA","CT VALENCIA","212.230.246.65","212.230.246.65","ACINSA_GW","ACINSA_GW","","","Disponible","3","","","8071","8071","","Valencia, España","Aparato","device","ACINSA_GW","ACINSA_GW","","OK"
"25872","25872","FERROVIAL","FERROVIAL","212.231.5.149","212.231.5.149","Ferrovial_CPD_Ibercom","Ferrovial_CPD_Ibercom","","","Disponible","3","","","25871","25871","","C/ Maria Tubau 8, Madrid,España","Aparato","device","Ferrovial_CPD_Ibercom","Ferrovial_CPD_Ibercom","","OK"
"25949","25949","CARRASCOY CT Abertis","CARRASCOY CT Abertis","10.97.15.204","10.97.15.204","AGW_Murcia_CARRASCOY","AGW_Murcia_CARRASCOY","","","Disponible","3","","","44100","44100","","Murcia","Aparato","device","AGW_Murcia_CARRASCOY","AGW_Murcia_CARRASCOY","","OK"
"26003","26003","FERROVIAL","FERROVIAL","212.230.172.121","212.230.172.121","Ferrovial_Mad_Ppal (Delicias)","Ferrovial_Mad_Ppal (Delicias)","","","Disponible","3","","","25871","25871","","Paseo de las delicias 20 4: Madrid","Aparato","device","Ferrovial_Mad_Ppal (Delicias)","Ferrovial_Mad_Ppal (Delicias)","","OK"
"27265","27265","JCDECAUX","JCDECAUX","212.230.172.217","212.230.172.217","JCDECAUX MADRID - HSRP TESA","JCDECAUX MADRID - HSRP TESA","","","Disponible","3","","","27264","27264","","via de las dos castillas 33, pozuelo de alarcon","Aparato","device","JCDECAUX MADRID - HSRP TESA","JCDECAUX MADRID - HSRP TESA","","OK"
"27881","27881","FERROVIAL","FERROVIAL","212.230.134.113","212.230.134.113","Ferrovial_BCN_Ppal (Sants)","Ferrovial_BCN_Ppal (Sants)","","","Disponible","3","","","25871","25871","","C/ de los Condes de Bell-lloc s/n Rampa de acceso a Renfe Vma 0 08014 Barcelona","Aparato","device","Ferrovial_BCN_Ppal (Sants)","Ferrovial_BCN_Ppal (Sants)","","OK"
"28044","28044","IDL_CARREFOUR","IDL_CARREFOUR","212.230.49.246","212.230.49.246","IDL_CAD Miralcampo_Carrefour_bckp","IDL_CAD Miralcampo_Carrefour_bckp","","","Pausado","8","","","43628","43628","","Avenida De la Construccion 6 y 8 Azuqueca de Henares. 19200. Guadalajara","Aparato","device","IDL_CAD Miralcampo_Carrefour_bckp","IDL_CAD Miralcampo_Carrefour_bckp","","Pausado por dependencia"
"28118","28118","GROUPE ID-LOGISTICS ESPAÑA","GROUPE ID-LOGISTICS ESPAÑA","212.230.40.212","212.230.40.212","IDL_Cortefiel_Aranjuez","IDL_Cortefiel_Aranjuez","","","Disponible","3","","","9377","9377","","Paseo Deleite s/n 28300 Aranjuez","Aparato","device","IDL_Cortefiel_Aranjuez","IDL_Cortefiel_Aranjuez","","OK"
"28188","28188","IDL_CARREFOUR","IDL_CARREFOUR","5.35.207.178","5.35.207.178","IDL_CAD Levante_Carrefour_radio (internet)","IDL_CAD Levante_Carrefour_radio (internet)","","","Pausado","8","","","43628","43628","","Poligono Industrial Poyo de Reva , 46394 Riba-roja de Túria, Valencia","Aparato","device","IDL_CAD Levante_Carrefour_radio (internet)","IDL_CAD Levante_Carrefour_radio (internet)","","Pausado por dependencia"
"28413","28413","AXION_MIJAS","AXION_MIJAS","212.230.131.189","212.230.131.189","331574_SectorAlarm","331574_SectorAlarm","","","Disponible","3","","","36164","36164","","via de las dos castillas 33, pozuelo de alarcon","Aparato","device","331574_SectorAlarm","331574_SectorAlarm","","OK"
"28441","28441","FERROVIAL","FERROVIAL","212.230.172.65","212.230.172.65","Ferrovial_Mad_Ppal (Atocha)","Ferrovial_Mad_Ppal (Atocha)","","","Disponible","3","","","25871","25871","","Estacion Atocha c/Mendez Alvaro 3 28045 Madrid","Aparato","device","Ferrovial_Mad_Ppal (Atocha)","Ferrovial_Mad_Ppal (Atocha)","","OK"
"28580","28580","TACACS","TACACS","212.230.10.104","212.230.10.104","TACACS_SERVER VirtualBox","TACACS_SERVER VirtualBox","","","Disponible","3","","","28593","28593","","via de las dos castillas 33, pozuelo de alarcon","Aparato","device","TACACS_SERVER VirtualBox","TACACS_SERVER VirtualBox","","OK"
"29034","29034","MPO IBERICA","MPO IBERICA","212.230.172.229","212.230.172.229","MPO_Iberica_Laguna (MPO ALCORCON) [Cisco Device]","MPO_Iberica_Laguna (MPO ALCORCON) [Cisco Device]","","","Disponible","3","","","29033","29033","","via de las dos castillas 33, pozuelo de alarcon","Aparato","device","MPO_Iberica_Laguna (MPO ALCORCON) [Cisco Device]","MPO_Iberica_Laguna (MPO ALCORCON) [Cisco Device]","","OK"
"29086","29086","CARRASCOY CT Abertis","CARRASCOY CT Abertis","212.231.11.4","212.231.11.4","201012_Racomur Difusion","201012_Racomur Difusion","","","Pausado (pausado)","7","","","44100","44100","","C/ San Marcos, 2 Cehegin","Aparato","device","201012_Racomur Difusion","201012_Racomur Difusion","","[[ Cambio de router a Switch L3 (pausado a las 16/06/2016 10:18:40 por Cruz Antonio Perez) ]]: Pausado por usuario"
"29109","29109","MDC_QUENTURE","MDC_QUENTURE","212.230.131.109","212.230.131.109","SWI_IGMP_08","SWI_IGMP_08","","","Disponible","3","","","37310","37310","","via de las dos castillas 33, pozuelo de alarcon","Aparato","device","SWI_IGMP_08","SWI_IGMP_08","","OK"
"2914","2914","CT ALICANTE","CT ALICANTE","212.230.131.173","212.230.131.173","SERCRESA_PPAL","SERCRESA_PPAL","","","Disponible","3","","","8663","8663","","ALICANTE","Aparato","device","SERCRESA_PPAL","SERCRESA_PPAL","","OK"
"2917","2917","CT ALICANTE","CT ALICANTE","84.232.101.254","84.232.101.254","SERCRESA_BCKP","SERCRESA_BCKP","","","Disponible","3","","","8663","8663","","Juan sanchis candela 13, ALICANTE","Aparato","device","SERCRESA_BCKP","SERCRESA_BCKP","","OK"
"2920","2920","CT ALICANTE","CT ALICANTE","212.230.145.136","212.230.145.136","SERCRESA_GW_01_TIPHONE","SERCRESA_GW_01_TIPHONE","","","Disponible","3","","","8663","8663","","Avenida juan Sanchis Candela 13, Alicante","Aparato","device","SERCRESA_GW_01_TIPHONE","SERCRESA_GW_01_TIPHONE","","OK"
