"Grupo","Grupo(RAW)","Aparato","Aparato(RAW)","Sensor","Sensor(RAW)","Estado","Estado(RAW)"
"1-7E18Q_BUFETE MAS Y CALVET SRLP","1-7E18Q_BUFETE MAS Y CALVET SRLP","139.47.139.33_FTTH_Madrid","139.47.139.33_FTTH_Madrid","","","Disponible","3"
"1-8K7KV_ESIC SACERD CORAZON JESUS PADRES REPAR","1-8K7KV_ESIC SACERD CORAZON JESUS PADRES REPAR","1-8K7KV_ESIC_Zaragoza_FTTH300","1-8K7KV_ESIC_Zaragoza_FTTH300","","","Disponible","3"
"1-8K7KV_ESIC SACERD CORAZON JESUS PADRES REPAR","1-8K7KV_ESIC SACERD CORAZON JESUS PADRES REPAR","1-8K7KV_ESIC_Sevilla_FTTH300","1-8K7KV_ESIC_Sevilla_FTTH300","","","Disponible","3"
"1-A0NEL_SACH CONSULTING & SERVICIOS S.L.","1-A0NEL_SACH CONSULTING & SERVICIOS S.L.","1-A0NEL_SACH(Alicante)","1-A0NEL_SACH(Alicante)","","","Disponible","3"
"1-B00S2_CARTONAJES BARCO S.A.","1-B00S2_CARTONAJES BARCO S.A.","1-B00S2_CARTONAJES_FTTH100","1-B00S2_CARTONAJES_FTTH100","","","Disponible","3"
"1-B00S2_CARTONAJES BARCO S.A.","1-B00S2_CARTONAJES BARCO S.A.","1-B00S2_CARTONAJES_LTE30","1-B00S2_CARTONAJES_LTE30","","","Disponible","3"
"1-B00S2_CARTONAJES BARCO S.A.","1-B00S2_CARTONAJES BARCO S.A.","1-B00S2_CARTONAJES_SUBREDPUBLICA","1-B00S2_CARTONAJES_SUBREDPUBLICA","","","Disponible","3"
"1-B2ENW_MICROMOUSE S.L.","1-B2ENW_MICROMOUSE S.L.","MICROMOUSE S.L._FTTH_VELAZQUEZ","MICROMOUSE S.L._FTTH_VELAZQUEZ","","","Disponible","3"
"200955 Grupo K Telecomunicaciones S.L (Garbera)","200955 Grupo K Telecomunicaciones S.L (Garbera)","200955 Grupo K CPE Garbera","200955 Grupo K CPE Garbera","","","Disponible","3"
"200955 Grupo K Telecomunicaciones S.L (Garbera)","200955 Grupo K Telecomunicaciones S.L (Garbera)","Antena cliente","Antena cliente","","","Disponible","3"
"200955 Grupo K Telecomunicaciones S.L (Hondarribia)","200955 Grupo K Telecomunicaciones S.L (Hondarribia)","Antena cliente","Antena cliente","","","Disponible","3"
"200955 Grupo K Telecomunicaciones S.L (Hondarribia)","200955 Grupo K Telecomunicaciones S.L (Hondarribia)","200955 Grupo K CPE Hondarribia","200955 Grupo K CPE Hondarribia","","","Disponible","3"
"215005 Canal TV notificaciones","215005 Canal TV notificaciones","Canal TV Interfaz para cliente","Canal TV Interfaz para cliente","","","Disponible","3"
"215005 Canal TV notificaciones","215005 Canal TV notificaciones","Canal TV circuito troncal principal","Canal TV circuito troncal principal","","","Disponible","3"
"215005 Canal TV notificaciones","215005 Canal TV notificaciones","Canal TV circuito troncal backup","Canal TV circuito troncal backup","","","Disponible","3"
"216009 TVC Pinos Puente","216009 TVC Pinos Puente","Pinospuente","Pinospuente","","","Disponible","3"
"216022 Comunicaciones Ronda notificaciones","216022 Comunicaciones Ronda notificaciones","216022 Comunicaciones Ronda circuito troncal","216022 Comunicaciones Ronda circuito troncal","","","Disponible","3"
"216023 Video Cadena Sur","216023 Video Cadena Sur","Video Cadena Sur circuito troncal","Video Cadena Sur circuito troncal","","","Disponible","3"
"216023 Video Cadena Sur","216023 Video Cadena Sur","Video Cadena Sur interfaz Para cliente","Video Cadena Sur interfaz Para cliente","","","Disponible","3"
"216037 Digital Herrera","216037 Digital Herrera","sw216037_Digital_Herrera (216037_Digital_Herrera_Switch) [Cisco IOS Cisco Device]","sw216037_Digital_Herrera (216037_Digital_Herrera_Switch) [Cisco IOS Cisco Device]","","","Disponible","3"
"216037 Digital Herrera","216037 Digital Herrera","216037_Rou_Digital_Herrera_Becerrero","216037_Rou_Digital_Herrera_Becerrero","","","Disponible","3"
